RANK,ID,NAME,SYMBOL,PERCENTAGE,VOLUME,PRICE,MARKETCAP,SPARKLINEURL
1,1,bitcoin,BTC,-0.23,"$15,979,487,890",$8225.66,"$148,109,548,767",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1.png
2,1027,ethereum,ETH,0.05,"$6,907,224,773",$175.30,"$18,975,308,139",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1027.png
3,52,ripple,XRP,2.65,"$1,716,206,828",$0.300034,"$12,974,261,924",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/52.png
4,1831,bitcoin-cash,BCH,3.80,"$1,715,540,178",$234.15,"$4,231,157,393",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1831.png
5,825,tether,USDT,0.08,"$19,455,449,653",$1.01,"$4,130,008,067",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/825.png
6,2,litecoin,LTC,1.03,"$2,759,577,299",$55.10,"$3,499,594,691",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2.png
7,1839,binance-coin,BNB,0.58,"$182,728,330",$18.31,"$2,848,391,220",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1839.png
8,1765,eos,EOS,0.76,"$1,726,429,871",$2.95,"$2,759,465,208",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1765.png
9,3602,bitcoin-sv,BSV,17.38,"$577,281,571",$112.15,"$2,002,354,617",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3602.png
10,512,stellar,XLM,1.39,"$196,175,702",$0.064078,"$1,283,840,946",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/512.png
11,1958,tron,TRX,1.06,"$771,261,257",$0.015667,"$1,044,686,111",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1958.png
12,2010,cardano,ADA,2.39,"$39,897,094",$0.040068,"$1,038,850,122",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2010.png
13,3957,unus-sed-leo,LEO,-1.41,"$6,728,908",$1.01,"$1,006,391,198",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3957.png
14,328,monero,XMR,2.03,"$99,288,927",$57.42,"$991,633,525",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/328.png
15,1975,chainlink,LINK,9.19,"$186,970,116",$2.72,"$952,553,613",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1975.png
16,2502,huobi-token,HT,-0.50,"$68,072,423",$3.41,"$798,505,577",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2502.png
17,1720,iota,MIOTA,2.45,"$7,455,100",$0.275288,"$765,171,235",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1720.png
18,131,dash,DASH,-0.54,"$231,722,516",$69.15,"$629,834,546",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/131.png
19,2011,tezos,XTZ,-1.46,"$11,515,369",$0.868255,"$573,372,919",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2011.png
20,3794,cosmos,ATOM,3.37,"$141,542,757",$2.98,"$569,124,459",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3794.png
21,1321,ethereum-classic,ETC,2.57,"$512,774,824",$4.63,"$530,144,230",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1321.png
22,1376,neo,NEO,2.23,"$241,987,362",$7.47,"$526,861,022",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1376.png
23,1518,maker,MKR,1.23,"$7,233,909",$502.68,"$502,681,140",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1518.png
24,3408,usd-coin,USDC,0.27,"$198,089,934",$1.00,"$477,944,527",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3408.png
25,3635,crypto-com-coin,CRO,1.23,"$11,932,652",$0.033785,"$371,941,131",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3635.png
26,873,nem,XEM,-1.02,"$30,813,673",$0.040255,"$362,293,944",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/873.png
27,74,dogecoin,DOGE,0.46,"$82,889,333",$0.002738,"$333,228,584",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/74.png
28,2566,ontology,ONT,2.74,"$83,258,920",$0.600475,"$321,765,093",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2566.png
29,1697,basic-attention-token,BAT,-4.71,"$42,650,136",$0.215285,"$290,839,209",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1697.png
30,1437,zcash,ZEC,0.20,"$116,889,288",$36.59,"$281,086,214",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1437.png
31,3330,paxos-standard,PAX,0.24,"$312,789,575",$1.00,"$249,624,553",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3330.png
32,3662,hedgetrade,HEDG,-2.58,"$301,855",$0.740134,"$213,403,402",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3662.png
33,1896,0x,ZRX,-0.67,"$25,228,120",$0.324077,"$194,855,330",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1896.png
34,2563,trueusd,TUSD,0.18,"$171,108,439",$1.00,"$186,756,479",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2563.png
35,3077,vechain,VET,-1.04,"$75,192,839",$0.003337,"$185,079,414",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3077.png
36,1684,qtum,QTUM,0.11,"$170,999,819",$1.71,"$164,806,663",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1684.png
37,1168,decred,DCR,-2.40,"$6,555,505",$14.51,"$153,291,541",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1168.png
38,3437,abbc-coin,ABBC,-4.03,"$57,967,238",$0.274194,"$151,987,688",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3437.png
39,2682,holo,HOT,2.28,"$13,350,052",$0.000942,"$152,012,788",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2682.png
40,2577,ravencoin,RVN,-1.24,"$10,707,074",$0.031145,"$145,899,066",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2577.png
41,4172,luna,LUNA,-5.88,"$1,064,072",$0.494780,"$141,235,550",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4172.png
42,3351,zb,ZB,-0.34,"$174,467,763",$0.299818,"$138,902,519",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3351.png
43,2083,bitcoin-gold,BTG,0.74,"$12,068,697",$7.61,"$133,349,745",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2083.png
44,4279,swipe,SXP,-0.26,"$51,139,971",$2.11,"$129,271,776",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/4279.png
45,2453,educare,EKT,3.22,"$8,872,281",$0.145286,"$123,493,469",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2453.png
46,2585,centrality,CENNZ,-5.31,"$405,364",$0.115014,"$121,416,743",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2585.png
47,3704,v-systems,VSYS,-0.50,"$2,353,532",$0.062185,"$113,992,028",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3704.png
48,1808,omisego,OMG,-0.51,"$44,374,564",$0.812222,"$113,910,403",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1808.png
