RANK,ID,NAME,SYMBOL,PERCENTAGE,VOLUME,PRICE,MARKETCAP,SPARKLINEURL
1,1,bitcoin,BTC,-0.22,"$15,957,386,091",$8224.20,"$148,083,038,135",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1.png
2,1027,ethereum,ETH,0.12,"$6,902,100,991",$175.42,"$18,988,542,520",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1027.png
3,52,ripple,XRP,2.50,"$1,699,930,565",$0.299770,"$12,962,850,429",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/52.png
4,1831,bitcoin-cash,BCH,3.88,"$1,709,031,605",$234.22,"$4,232,332,485",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1831.png
5,825,tether,USDT,-0.02,"$19,409,477,695",$1.00,"$4,125,525,505",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/825.png
6,2,litecoin,LTC,1.07,"$2,752,960,858",$55.13,"$3,501,732,748",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2.png
7,1839,binance-coin,BNB,0.43,"$182,638,706",$18.30,"$2,845,761,026",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1839.png
8,1765,eos,EOS,0.73,"$1,718,894,714",$2.94,"$2,758,003,381",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1765.png
9,3602,bitcoin-sv,BSV,17.73,"$577,053,338",$112.32,"$2,005,476,953",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3602.png
10,512,stellar,XLM,1.96,"$194,896,281",$0.064437,"$1,291,031,665",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/512.png
11,1958,tron,TRX,1.06,"$768,783,116",$0.015672,"$1,045,009,043",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1958.png
12,2010,cardano,ADA,2.34,"$39,424,599",$0.040076,"$1,039,050,256",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2010.png
13,3957,unus-sed-leo,LEO,-1.34,"$6,659,136",$1.01,"$1,007,060,283",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3957.png
14,328,monero,XMR,1.84,"$98,744,635",$57.30,"$989,522,880",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/328.png
15,1975,chainlink,LINK,9.25,"$185,584,506",$2.72,"$952,056,217",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1975.png
16,2502,huobi-token,HT,-0.68,"$68,057,457",$3.40,"$797,220,929",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2502.png
17,1720,iota,MIOTA,2.71,"$7,369,868",$0.276134,"$767,523,709",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1720.png
18,131,dash,DASH,-0.54,"$231,303,739",$69.12,"$629,472,988",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/131.png
19,3794,cosmos,ATOM,4.17,"$141,227,721",$3.01,"$573,516,898 ",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3794.png
20,2011,tezos,XTZ,-1.72,"$11,516,043",$0.866904,"$572,480,278",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2011.png
21,1321,ethereum-classic,ETC,3.17,"$512,545,646",$4.66,"$533,349,883",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1321.png
22,1376,neo,NEO,2.10,"$241,911,848",$7.46,"$526,077,556",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1376.png
23,1518,maker,MKR,0.07,"$7,185,049",$497.14,"$497,137,558",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1518.png
24,3408,usd-coin,USDC,0.17,"$197,937,105",$1.00,"$477,475,046",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3408.png
25,3635,crypto-com-coin,CRO,1.32,"$11,933,482",$0.033804,"$372,156,731",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3635.png
26,873,nem,XEM,-0.92,"$30,748,565",$0.040273,"$362,458,607",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/873.png
27,74,dogecoin,DOGE,0.61,"$82,718,094",$0.002743,"$333,814,187",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/74.png
28,2566,ontology,ONT,2.75,"$82,812,720",$0.600567,"$321,814,318",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2566.png
29,1697,basic-attention-token,BAT,-5.02,"$42,444,866",$0.214797,"$290,179,218",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1697.png
30,1437,zcash,ZEC,0.51,"$116,868,739",$36.69,"$281,797,835",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1437.png
31,3330,paxos-standard,PAX,0.16,"$310,288,822",$1.00,"$249,431,400",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3330.png
32,3662,hedgetrade,HEDG,-2.70,"$298,610",$0.738619,"$212,966,648",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3662.png
33,1896,0x,ZRX,-0.84,"$25,246,984",$0.323541,"$194,532,838",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1896.png
34,2563,trueusd,TUSD,0.01,"$173,257,665",$1.00,"$186,429,905",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/2563.png
35,3077,vechain,VET,-0.96,"$75,128,543",$0.003337,"$185,044,210",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3077.png
36,1684,qtum,QTUM,-0.08,"$170,578,640",$1.71,"$164,570,091",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1684.png
37,1168,decred,DCR,-2.62,"$6,547,892",$14.48,"$152,975,358",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/1168.png
38,3437,abbc-coin,ABBC,-4.25,"$57,949,434",$0.275403,"$152,658,236",https://s2.coinmarketcap.com/generated/sparklines/web/7d/usd/3437.png
